,precision,recall,f1-score,support
s002,0.7325581395348837,0.7875,0.7590361445783133,80.0
s003,0.9358974358974359,0.9125,0.9240506329113924,80.0
s004,0.8831168831168831,0.85,0.8662420382165605,80.0
s005,0.8987341772151899,0.8875,0.8930817610062893,80.0
s007,0.6923076923076923,0.5625,0.6206896551724138,80.0
s008,0.8428571428571429,0.7375,0.7866666666666666,80.0
s010,0.9375,0.9375,0.9375,80.0
s011,0.8666666666666667,0.8125,0.8387096774193549,80.0
s012,0.8313253012048193,0.8625,0.8466257668711656,80.0
s013,0.797752808988764,0.8875,0.8402366863905325,80.0
s015,0.8266666666666667,0.775,0.8,80.0
s016,0.95,0.95,0.95,80.0
s017,0.9397590361445783,0.975,0.9570552147239264,80.0
s018,0.863013698630137,0.7875,0.8235294117647058,80.0
s019,0.9634146341463414,0.9875,0.9753086419753086,80.0
s020,0.7866666666666666,0.7375,0.7612903225806451,80.0
s021,0.8933333333333333,0.8375,0.864516129032258,80.0
s022,0.9873417721518988,0.975,0.9811320754716981,80.0
s024,0.9390243902439024,0.9625,0.9506172839506173,80.0
s025,0.9166666666666666,0.9625,0.9390243902439024,80.0
s026,0.8227848101265823,0.8125,0.8176100628930818,80.0
s027,0.8764044943820225,0.975,0.9230769230769231,80.0
s028,0.8850574712643678,0.9625,0.9221556886227545,80.0
s029,0.8414634146341463,0.8625,0.8518518518518519,80.0
s030,0.9240506329113924,0.9125,0.9182389937106918,80.0
s031,0.8115942028985508,0.7,0.7516778523489933,80.0
s032,0.8208955223880597,0.6875,0.7482993197278912,80.0
s033,0.9259259259259259,0.9375,0.9316770186335404,80.0
s034,0.8227848101265823,0.8125,0.8176100628930818,80.0
s035,0.8555555555555555,0.9625,0.9058823529411765,80.0
s036,0.9523809523809523,1.0,0.975609756097561,80.0
s037,0.7582417582417582,0.8625,0.8070175438596491,80.0
s038,0.8488372093023255,0.9125,0.8795180722891566,80.0
s039,0.8928571428571429,0.9375,0.9146341463414634,80.0
s040,0.9036144578313253,0.9375,0.9202453987730062,80.0
s041,0.8160919540229885,0.8875,0.8502994011976048,80.0
s042,0.9518072289156626,0.9875,0.9693251533742331,80.0
s043,0.9629629629629629,0.975,0.968944099378882,80.0
s044,0.8961038961038961,0.8625,0.8789808917197452,80.0
s046,0.8607594936708861,0.85,0.8553459119496856,80.0
s047,0.8571428571428571,0.825,0.8407643312101911,80.0
s048,0.8072289156626506,0.8375,0.8220858895705522,80.0
s049,0.8850574712643678,0.9625,0.9221556886227545,80.0
s050,0.8717948717948718,0.85,0.8607594936708861,80.0
s051,0.6881720430107527,0.8,0.7398843930635838,80.0
s052,0.9875,0.9875,0.9875,80.0
s053,0.9493670886075949,0.9375,0.9433962264150944,80.0
s054,0.7468354430379747,0.7375,0.7421383647798742,80.0
s055,0.9090909090909091,0.875,0.89171974522293,80.0
s056,0.8904109589041096,0.8125,0.8496732026143791,80.0
s057,0.8805970149253731,0.7375,0.8027210884353742,80.0
accuracy,0.870343137254902,0.870343137254902,0.870343137254902,0.870343137254902
macro avg,0.8703524427918474,0.870343137254902,0.8691394396914185,4080.0
weighted avg,0.8703524427918473,0.870343137254902,0.8691394396914185,4080.0
