user_id,samples_count,embedding_dim,template_method,source_split,template_l2_norm,template_l1_norm,template_mean,template_std
s002,256,32,mean_embedding,train,10.934714317321777,53.44537353515625,1.6701679229736328,0.9731588959693909
s003,256,32,mean_embedding,train,12.532343864440918,50.21646499633789,1.569264531135559,1.5638169050216675
s004,256,32,mean_embedding,train,12.735488891601562,58.246315002441406,1.820197343826294,1.324916124343872
s005,256,32,mean_embedding,train,12.547783851623535,56.44080352783203,1.763775110244751,1.3451069593429565
s007,256,32,mean_embedding,train,11.70065689086914,54.775108337402344,1.7117221355438232,1.1611634492874146
s008,256,32,mean_embedding,train,12.031929969787598,54.42306137084961,1.7007206678390503,1.277313232421875
s010,256,32,mean_embedding,train,12.48901653289795,50.83661651611328,1.58864426612854,1.5331162214279175
s011,256,32,mean_embedding,train,14.569594383239746,54.76057434082031,1.7112679481506348,1.9248623847961426
s012,256,32,mean_embedding,train,11.658361434936523,45.42588806152344,1.4195590019226074,1.4940786361694336
s013,256,32,mean_embedding,train,13.096418380737305,54.69252014160156,1.7091412544250488,1.5616391897201538
s015,256,32,mean_embedding,train,13.41201400756836,55.794715881347656,1.7435848712921143,1.606620192527771
s016,256,32,mean_embedding,train,11.968704223632812,54.35160446166992,1.698487639427185,1.2616251707077026
s017,256,32,mean_embedding,train,12.820030212402344,51.38078308105469,1.605649471282959,1.5993520021438599
s018,256,32,mean_embedding,train,12.940387725830078,53.583030700683594,1.6744697093963623,1.5585498809814453
s019,256,32,mean_embedding,train,12.618523597717285,61.16541290283203,1.911419153213501,1.1499236822128296
s020,256,32,mean_embedding,train,11.25416374206543,49.035400390625,1.5323562622070312,1.2688146829605103
s021,256,32,mean_embedding,train,11.282132148742676,54.03543472290039,1.6886073350906372,1.061277151107788
s022,256,32,mean_embedding,train,12.347954750061035,47.59453201293945,1.487329125404358,1.5976864099502563
s024,256,32,mean_embedding,train,11.35126781463623,45.93528366088867,1.435477614402771,1.4021433591842651
s025,256,32,mean_embedding,train,10.095319747924805,46.14786911010742,1.442120909690857,1.0512592792510986
s026,256,32,mean_embedding,train,12.344648361206055,60.03076171875,1.8759613037109375,1.114884614944458
s027,256,32,mean_embedding,train,13.230278015136719,62.318355560302734,1.9474486112594604,1.295164942741394
s028,256,32,mean_embedding,train,12.015253067016602,49.5396728515625,1.5481147766113281,1.4542309045791626
s029,256,32,mean_embedding,train,12.369229316711426,53.172767639160156,1.6616489887237549,1.4213041067123413
s030,256,32,mean_embedding,train,9.570169448852539,35.337120056152344,1.1042850017547607,1.281672477722168
s031,256,32,mean_embedding,train,10.87286376953125,53.792236328125,1.6810073852539062,0.9319673180580139
s032,256,32,mean_embedding,train,11.142293930053711,54.89471435546875,1.7154598236083984,0.9679394960403442
s033,256,32,mean_embedding,train,15.624754905700684,59.51430130004883,1.8598219156265259,2.0421111583709717
s034,256,32,mean_embedding,train,13.946533203125,62.25128936767578,1.9453527927398682,1.514565348625183
s035,256,32,mean_embedding,train,11.291289329528809,47.958221435546875,1.4986944198608398,1.3183619976043701
s036,256,32,mean_embedding,train,15.055747032165527,51.40462112426758,1.6063944101333618,2.1220526695251465
s037,256,32,mean_embedding,train,11.341752052307129,55.08433532714844,1.7213854789733887,1.0279526710510254
s038,256,32,mean_embedding,train,13.253729820251465,60.8605842590332,1.9018932580947876,1.3682907819747925
s039,256,32,mean_embedding,train,14.256591796875,62.78278350830078,1.9619619846343994,1.5818597078323364
s040,256,32,mean_embedding,train,13.046587944030762,47.95976257324219,1.4987425804138184,1.7529805898666382
s041,256,32,mean_embedding,train,13.569371223449707,47.3700065612793,1.480312705039978,1.8875031471252441
s042,256,32,mean_embedding,train,13.060510635375977,52.28288269042969,1.6338400840759277,1.63128662109375
s043,256,32,mean_embedding,train,12.682934761047363,49.90252685546875,1.5594539642333984,1.6108629703521729
s044,256,32,mean_embedding,train,12.200516700744629,52.44990539550781,1.6390595436096191,1.4018299579620361
s046,256,32,mean_embedding,train,12.352585792541504,59.83094787597656,1.8697171211242676,1.1280430555343628
s047,256,32,mean_embedding,train,10.562333106994629,49.07918930053711,1.5337246656417847,1.0649080276489258
s048,256,32,mean_embedding,train,12.345978736877441,55.04808807373047,1.7202527523040771,1.3431141376495361
s049,256,32,mean_embedding,train,13.657105445861816,57.11996078491211,1.7849987745285034,1.6255526542663574
s050,256,32,mean_embedding,train,12.100003242492676,58.298484802246094,1.8218276500701904,1.1208295822143555
s051,256,32,mean_embedding,train,11.58773422241211,49.222312927246094,1.5381972789764404,1.352797508239746
s052,256,32,mean_embedding,train,15.646411895751953,58.40201950073242,1.8250631093978882,2.078331708908081
s053,256,32,mean_embedding,train,13.044927597045898,48.82186508178711,1.5256832838058472,1.7291926145553589
s054,256,32,mean_embedding,train,11.451086044311523,53.71332931518555,1.6785415410995483,1.131471872329712
s055,256,32,mean_embedding,train,16.74612045288086,72.28495025634766,2.2589046955108643,1.913339376449585
s056,256,32,mean_embedding,train,14.699856758117676,61.948402404785156,1.9358875751495361,1.733499526977539
s057,256,32,mean_embedding,train,11.451934814453125,51.23571014404297,1.6011159420013428,1.2388566732406616
