split,distance_metric,policy,threshold_source,target_far,genuine_trials,impostor_trials,genuine_accepts,genuine_rejects,impostor_accepts,impostor_rejects,far,frr,balanced_error,mean_user_far,mean_user_frr,max_user_far,max_user_frr,guarded_users_count
validation,euclidean,global,validation,0.01,3264,163200,2601,663,1632,161568,0.01,0.203125,0.1065625,0.009999999999999998,0.203125,0.0446875,0.609375,0
test,euclidean,global,validation,0.01,4080,204000,3207,873,1905,202095,0.009338235294117647,0.2139705882352941,0.11165441176470588,0.009338235294117647,0.21397058823529413,0.05075,0.675,0
validation,euclidean,per_user,validation,0.01,3264,163200,2765,499,1632,161568,0.01,0.15287990196078433,0.08143995098039217,0.01,0.15287990196078433,0.01,0.546875,0
test,euclidean,per_user,validation,0.01,4080,204000,3394,686,1924,202076,0.009431372549019608,0.1681372549019608,0.0887843137254902,0.009431372549019608,0.1681372549019608,0.014,0.5,0
validation,euclidean,guarded,validation,0.01,3264,163200,2599,665,1546,161654,0.009473039215686275,0.2037377450980392,0.10660539215686274,0.009473039215686273,0.2037377450980392,0.0446875,0.609375,2
test,euclidean,guarded,validation,0.01,4080,204000,3206,874,1811,202189,0.008877450980392157,0.2142156862745098,0.11154656862745098,0.008877450980392157,0.21421568627450982,0.05075,0.675,2
validation,cosine,global,validation,0.01,3264,163200,2774,490,1632,161568,0.01,0.15012254901960784,0.08006127450980392,0.010000000000000002,0.15012254901960784,0.03375,0.515625,0
test,cosine,global,validation,0.01,4080,204000,3458,622,1915,202085,0.009387254901960785,0.15245098039215688,0.08091911764705884,0.009387254901960783,0.15245098039215688,0.0325,0.525,0
validation,cosine,per_user,validation,0.01,3264,163200,2831,433,1632,161568,0.01,0.1326593137254902,0.0713296568627451,0.01,0.1326593137254902,0.01,0.5,0
test,cosine,per_user,validation,0.01,4080,204000,3531,549,1953,202047,0.009573529411764706,0.13455882352941176,0.07206617647058823,0.009573529411764705,0.13455882352941176,0.01475,0.525,0
validation,cosine,guarded,validation,0.01,3264,163200,2772,492,1521,161679,0.00931985294117647,0.15073529411764705,0.08002757352941176,0.00931985294117647,0.15073529411764705,0.03375,0.515625,4
test,cosine,guarded,validation,0.01,4080,204000,3456,624,1802,202198,0.008833333333333334,0.15294117647058825,0.08088725490196079,0.008833333333333334,0.15294117647058827,0.0325,0.525,4
validation,manhattan,global,validation,0.01,3264,163200,2576,688,1632,161568,0.01,0.2107843137254902,0.1103921568627451,0.01,0.2107843137254902,0.0375,0.65625,0
test,manhattan,global,validation,0.01,4080,204000,3196,884,1833,202167,0.008985294117647058,0.21666666666666667,0.11282598039215687,0.008985294117647058,0.21666666666666665,0.0345,0.7,0
validation,manhattan,per_user,validation,0.01,3264,163200,2773,491,1632,161568,0.01,0.15042892156862744,0.08021446078431373,0.01,0.15042892156862744,0.01,0.46875,0
test,manhattan,per_user,validation,0.01,4080,204000,3405,675,1937,202063,0.009495098039215687,0.16544117647058823,0.08746813725490196,0.009495098039215685,0.16544117647058823,0.016,0.5125,0
validation,manhattan,guarded,validation,0.01,3264,163200,2574,690,1507,161693,0.00923406862745098,0.2113970588235294,0.1103155637254902,0.00923406862745098,0.2113970588235294,0.0375,0.65625,3
test,manhattan,guarded,validation,0.01,4080,204000,3194,886,1689,202311,0.008279411764705882,0.21715686274509804,0.11271813725490196,0.008279411764705882,0.21715686274509802,0.03275,0.7,3
